Sr No,date,startup,vertical,subvertical,city,investors,round,amount
345,2018-03-26,Cash Suvidha,Consumer Internet,Online loan platform,Delhi,"Initia Holdings,Vipin Agarwal and others.",Seed / Angel Funding,8.3
347,2018-03-28,Smartcoin,Finance,Micro lending company,Bengaluru,"Accion Venture Lab, Unicorn India Ventures and ISME ACE.",Seed / Angel Funding,16.6
348,2018-03-27,The Print,Media,News portal,Delhi,Ratan Tata,Seed / Angel Funding,4.441
349,2018-03-27,DriveU,Technology,Professional Car Drivers Hiring App,Bengaluru,Amit Singhal and Unitus Seed Fund,Private Equity,24.9
351,2018-01-02,BigBasket,Consumer Internet,Online Grocery & Food Store,Bengaluru,"Alibaba, Helion Venture Partners, Bessemer Venture Partners, Ascent Capital",Private Equity,2490.0
352,2018-01-02,Zomato,Food and Beverages,Food Ordering and Restaurant Discovery,Gurugram,Ant Financials,Private Equity,1660.0
353,2018-05-02,Pratilipi,Publishing,E-Publishing,Bengaluru,Omidyar Network,Private Equity,35.69
354,2018-05-02,Asia Institute Of Medical Science,Healthcare,Super-specialty Hospital,Faridabad,CDC Group Plc,Private Equity,174.3
355,2018-05-02,CollegeDekho,Consumer Internet,Online platform for Higher Education Services,Gurugram,"Man Capital LLP, Girnar Software, Others",Private Equity,16.6
357,2018-06-02,Healthi,Healthcare,Preventive Health Checkup,Bengaluru,Montane Ventures,Private Equity,25.73
358,2018-07-02,Swiggy,Food and Beverages,Online Food Delivery,Bengaluru,Naspers,Private Equity,830.0
359,2018-08-02,Shape,Healthcare,"Online Portal for Diet,fitness and Beauty",Pune,Sandeep Mathur,Seed / Angle Funding,830.0
360,2018-08-02,Icertis,Consumer Internet,Enterprise Contract Management Platform,Pune,Meritech Capital Partners,Private Equity,415.0
361,2018-09-02,healthifyme,Healthcare,Mobile Weight Loss Coach,Bengaluru,Sistema Asia Fund,Private Equity,99.6
363,2018-09-02,Rupeek,Consumer Internet,Online Gold Loan,Bengaluru,"Accel Partners, Sequoia Capital",Private Equity,56.689
365,2018-12-02,Lendingkart,Finance,Online Lending Platform,Bengaluru,Fullerton Financial Holdings Pte Ltd & Others,Private Equity,722.1
367,2018-12-02,Cashify,E-Commerce,Online Selling,Gurugram,Trifecta Capital,Debt Funding,7.761
368,2018-02-13,holachef,Food and Beverages,Online Food Delivery,Mumbai,Ashok Kumar Gajera,Seed / Angle Funding,2.583
370,2018-02-13,IMAX Program,Ed-Tech,Individualised Progressive Learning Program,Bengaluru,"Michael & Susan Dell Foundation, LGT Impact Ventures",Private Equity,112.05
371,2018-02-14,Littlemore,Ed-Tech,Online Education Platform,Chennai,Kalpavriksh,Private Equity,24.9
372,2018-02-14,Toppr,Ed-Tech,Online Education Platform,Mumbai,Axis Capital Partners,Private Equity,0.83
373,2018-02-14,Shirsa Labs,Ed-Tech,Integrated Kids Engagement Company,Mumbai,"Dewang Neralla, Mahesh Kothurkar,Atul Agarwal",Private Equity,4.15
374,2018-02-14,MoneyOnMobile,Technology,mobile payment platform,Mumbai,S7 Group,Private Equity,41.5
375,2018-02-15,PetSutra,Consumer Internet,Online Pet Care Products,Gurugram,Michael Patrick Hickey,Seed / Angel Funding,1.232
376,2018-02-15,Infibeam,E-Commerce,Online Retailing,Ahemadabad,Network 18,Private Equity,51.709
377,2018-02-16,happay,Finance,Expense Management,Bengaluru,Sequoia and Jerry Yang,Seed / Angel Funding,2.075
